"Matricula","Cod_Disciplina","Cod_Evasao","Nome_Disciplina","Media_Disciplina","Periodo","Situacao"
"B14667",1109113,0,"MATEMÁTICA DISCRETA",5.8,2002.2,"Aprovado"
"B14667",1411176,0,"GERÊNCIA DA INFORMAÇÃO",5.7,2003.1,"Aprovado"
"B14667",1411189,0,"COMPILADORES",5,2005.1,"Aprovado"
"B14667",1411174,0,"INTRODUÇÃO A COMPUTAÇÃO",8.7,2002.1,"Aprovado"
"B14667",1411204,0,"GERENCIA DE REDES DE COMPUTADORES",8.9,2005.2,"Aprovado"
"B14667",1411190,0,"REDES DE COMPUTADORES",6,2004.1,"Aprovado"
"B14667",1411178,0,"SISTEMAS DE INFORMAÇÃO I",7.9,2003.2,"Aprovado"
"B14667",1411168,0,"PROGRAMAÇÃO II",5.5,2002.2,"Aprovado"
"B14667",1109103,0,"CALCULO DIFERENCIAL E INTEGRAL I",8.2,2002.1,"Aprovado"
"B14667",1301078,0,"GESTAO DA QUALIDADE",8.8,2006.1,"Aprovado"
"B14667",1411183,0,"LABORATÓRIO DE ENGENHARIA DE SOFTWARE",7.8,2004.2,"Aprovado"
"B14667",1108090,0,"FUNDAMENTOS DE FÍSICA MODERNA",7.1,2003.1,"Aprovado"
"B14667",1411170,0,"TEORIA DOS GRAFOS",7.8,2002.2,"Aprovado"
"B14667",1411182,0,"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES",7.9,2003.2,"Aprovado"
"B14667",1411194,0,"BANCO DE DADOS II",7.2,2004.2,"Aprovado"
"B14667",1307151,0,"LEITURA E PRODUCAO DE TEXTOS",7,2002.1,"Aprovado"
"B14667",1411197,0,"AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS",7.2,2005.2,"Aprovado"
"B14667",1411172,0,"ESTRUTURA DE DADOS E ALGORITMOS",6,2003.1,"Aprovado"
"B14667",1108089,0,"FUNDAMENTOS DE FÍSICA CLÁSSICA",6.8,2002.2,"Aprovado"
"B14667",1411202,0,"ENGENHARIA DE SOFTWARE II",8.4,2004.1,"Aprovado"
"B14667",1411177,0,"ENGENHARIA DE SOFTWARE I",7.9,2003.2,"Aprovado"
"B14667",1305220,0,"INFORMÁTICA E SOCIEDADE",8,2004.1,"Aprovado"
"B14667",1411238,0,"SEMINÁRIOS (EDUCAÇÃO AMBIENTAL)",8.5,2005.2,"Aprovado"
"B14667",1411192,0,"SISTEMAS OPERACIONAIS",5.8,2004.2,"Aprovado"
"B14667",1303021,0,"ECONOMIA",9,2006.1,"Aprovado"
"B14667",1411235,0,"TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS)",9.4,2005.1,"Aprovado"
"B14667",1307150,0,"INGLÊS",9.5,2006.1,"Aprovado"
"B14667",1411186,0,"PROJETO EM COMPUTAÇÃO II",9,2005.2,"Aprovado"
"B14667",1411201,0,"EMPREENDEDORISMO",8,2006.2,"Aprovado"
"B14667",1301014,0,"ADMINISTRAÇÃO",9,2006.1,"Aprovado"
"B14667",1411210,0,"MARKETING PARA INFORMÁTICA",8.8,2006.1,"Aprovado"
"B14667",1109035,0,"ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA",8.5,2002.1,"Aprovado"
"B14667",1411188,0,"MÉTODOS E SOFTWARE NUMÉRICOS",7.83,2005.1,"Aprovado"
"B14667",1411222,0,"SISTEMAS DISTRIBUIDOS",7.9,2005.2,"Aprovado"
