"Matricula","Periodo","Periodo_Curso","P1","P2","LP1","IC","LP2","Discreta","Eda","Leda","Grafos","TC"
"B12191",2007.2,3,0,0,0,0,0,0,70,70,0,29
"B12191",2008.1,3,0,0,0,0,0,0,0,0,0,77
"B12211",2009.2,1,33,0,21,59,0,0,0,0,0,0
"B12211",2010.1,1,52,0,70,0,0,0,0,0,0,0
"B12211",2010.1,2,0,0,0,0,0,2,0,0,0,0
"B12260",2007.1,1,87,0,88,81,0,0,0,0,0,0
"B12260",2007.2,2,0,95,0,0,88,69,0,0,74,0
"B12260",2008.1,3,0,0,0,0,0,0,83,88,0,64
"B12261",2004.1,1,200,0,0,0,0,0,0,0,0,0
"B12261",2004.2,1,37,0,76,68,0,0,0,0,0,0
"B12263",2008.1,1,79,0,83,96,0,0,0,0,0,0
"B12263",2008.2,2,0,95,0,0,97,88,0,0,92,0
"B12263",2009.1,3,0,0,0,0,0,0,83,97,0,76
"B12264",2002.1,1,21,0,27,75,0,0,0,0,0,0
"B12264",2002.2,1,69,0,70,0,0,0,0,0,0,0
"B12264",2003.1,2,0,200,0,0,200,200,0,0,200,0
"B12265",2003.1,1,70,0,65,81,0,0,0,0,0,0
"B12265",2003.2,2,0,50,0,0,76,62,0,0,63,0
"B12265",2004.1,3,0,0,0,0,0,0,37,29,0,88
"B12265",2004.2,3,0,0,0,0,0,0,65,50,0,0
"B12266",2013.1,1,96,0,96,88,0,0,0,0,0,0
"B12266",2013.2,2,0,88,0,0,89,87,0,0,98,0
"B12266",2014.1,3,0,0,0,0,0,0,86,94,0,91
"B12267",2004.2,1,0,0,80,0,0,0,0,0,0,0
"B12267",2005.1,2,0,0,0,0,84,0,0,0,50,0
"B12267",2005.2,3,0,0,0,0,0,0,50,60,0,64
"B12269",2008.2,1,200,0,200,200,0,0,0,0,0,0
"B12270",2002.2,1,23,0,21,58,0,0,0,0,0,0
"B12270",2003.1,1,51,0,57,0,0,0,0,0,0,0
"B12270",2003.1,2,0,0,0,0,0,15,0,0,0,0
"B12270",2003.2,2,0,57,0,0,50,75,0,0,57,0
"B12270",2004.1,3,0,0,0,0,0,0,34,46,0,36
"B12270",2004.2,3,0,0,0,0,0,0,73,70,0,81
"B12271",2003.2,1,50,0,56,80,0,0,0,0,0,0
"B12271",2004.1,2,0,56,0,0,55,62,0,0,64,0
"B12271",2004.2,3,0,0,0,0,0,0,48,32,0,63
"B12271",2005.1,3,0,0,0,0,0,0,75,78,0,0
"B1231",2010.1,1,70,0,64,59,0,0,0,0,0,0
"B1231",2010.2,2,0,68,0,0,67,61,0,0,58,0
"B1231",2011.1,3,0,0,0,0,0,0,50,53,0,57
"B12341",2012.1,1,86,0,86,89,0,0,0,0,0,0
"B12341",2012.2,2,0,70,0,0,76,84,0,0,70,0
"B12341",2013.1,3,0,0,0,0,0,0,74,75,0,70
"B1235",2012.1,1,46,0,46,74,0,0,0,0,0,0
"B1235",2012.2,1,88,0,88,0,0,0,0,0,0,0
"B1235",2012.2,2,0,0,0,0,0,55,0,0,0,0
"B1235",2013.1,2,0,82,0,0,80,0,0,0,57,0
"B1235",2013.2,3,0,0,0,0,0,0,50,52,0,0
"B1235",2014.1,3,0,0,0,0,0,0,0,0,0,50
"B12358",2013.1,1,50,0,50,83,0,0,0,0,0,0
"B12358",2013.2,2,0,64,0,0,62,52,0,0,80,0
"B12358",2014.1,3,0,0,0,0,0,0,29,32,0,38
"B12363",2011.1,1,77,0,77,78,0,0,0,0,0,0
"B12363",2011.2,2,0,66,0,0,73,60,0,0,75,0
"B12363",2012.1,3,0,0,0,0,0,0,74,72,0,69
"B12368",2006.1,1,97,0,91,95,0,0,0,0,0,0
"B12368",2006.2,2,0,200,0,0,200,2,0,0,200,0
"B12368",2007.1,2,0,200,0,0,200,200,0,0,200,0
"B12368",2008.1,2,0,200,0,0,200,0,0,0,200,0
"B1237",2013.1,1,70,0,71,88,0,0,0,0,0,0
"B1237",2013.2,2,0,90,0,0,90,86,0,0,84,0
"B1237",2014.1,3,0,0,0,0,0,0,83,74,0,82
"B12373",2005.2,1,66,0,59,84,0,0,0,0,0,0
"B12373",2006.1,2,0,66,0,0,89,77,0,0,58,0
"B12373",2006.2,3,0,0,0,0,0,0,56,70,0,0
"B12373",2007.1,3,0,0,0,0,0,0,0,0,0,71
"B1240",2011.2,1,71,0,72,80,0,0,0,0,0,0
"B1240",2012.1,2,0,76,0,0,74,71,0,0,83,0
"B1240",2012.2,3,0,0,0,0,0,0,63,84,0,55
"B1241",2009.2,1,34,0,27,52,0,0,0,0,0,0
"B1241",2010.1,1,50,0,50,0,0,0,0,0,0,0
"B1241",2010.2,2,0,50,0,0,43,0,0,0,0,0
"B1241",2011.1,2,0,0,0,0,28,38,0,0,62,0
"B1241",2011.2,2,0,0,0,0,50,200,0,0,0,0
"B1241",2012.1,3,0,0,0,0,0,0,42,36,0,0
"B1241",2012.2,2,0,0,0,0,0,74,0,0,0,0
"B1241",2012.2,3,0,0,0,0,0,0,73,70,0,0
"B12460",2011.1,1,22,0,20,200,0,0,0,0,0,0
"B12460",2011.2,1,56,0,56,61,0,0,0,0,0,0
"B12460",2012.1,2,0,62,0,0,73,0,0,0,50,0
"B12474",2007.1,1,58,0,61,89,0,0,0,0,0,0
"B12474",2007.2,2,0,85,0,0,87,72,0,0,71,0
"B12474",2008.1,3,0,0,0,0,0,0,71,96,0,53
"B12475",2004.1,1,82,0,90,90,0,0,0,0,0,0
"B12475",2004.2,2,0,70,0,0,85,81,0,0,78,0
"B12475",2005.1,3,0,0,0,0,0,0,81,78,0,96
"B12477",2008.1,1,78,0,72,82,0,0,0,0,0,0
"B12477",2008.2,2,0,80,0,0,92,55,0,0,78,0
"B12477",2009.1,3,0,0,0,0,0,0,56,83,0,54
"B12479",2013.1,1,70,0,70,84,0,0,0,0,0,0
"B12479",2013.2,2,0,73,0,0,75,70,0,0,73,0
"B12479",2014.1,3,0,0,0,0,0,0,51,71,0,30
"B12482",2007.2,1,51,0,55,70,0,0,0,0,0,0
"B12482",2008.1,2,0,83,0,0,89,52,0,0,74,0
"B12482",2008.2,3,0,0,0,0,0,0,50,76,0,53
"B12483",2004.2,1,53,0,70,70,0,0,0,0,0,0
"B12483",2005.1,2,0,63,0,0,88,30,0,0,59,0
"B12483",2005.2,2,0,0,0,0,0,67,0,0,0,0
"B12483",2005.2,3,0,0,0,0,0,0,50,70,0,0
"B12483",2006.1,3,0,0,0,0,0,0,0,0,0,71
"B12485",2002.2,1,82,0,82,86,0,0,0,0,0,0
"B12485",2003.1,2,0,54,0,0,82,74,0,0,56,0
"B12485",2003.2,3,0,0,0,0,0,0,51,61,0,76
"B12486",2003.2,1,90,0,88,89,0,0,0,0,0,0
"B12486",2004.1,2,0,85,0,0,84,200,0,0,74,0
"B12486",2004.2,2,0,0,0,0,0,70,0,0,0,0
"B12486",2004.2,3,0,0,0,0,0,0,74,59,0,0
"B12486",2005.1,3,0,0,0,0,0,0,0,0,0,59
"B12607",2011.2,1,24,0,25,50,0,0,0,0,0,0
"B12607",2012.1,1,25,0,200,0,0,0,0,0,0,0
"B12607",2012.2,1,200,0,200,0,0,0,0,0,0,0
"B12623",2005.1,1,85,0,86,82,0,0,0,0,0,0
"B12623",2005.2,2,0,84,0,0,84,71,0,0,75,0
"B12623",2006.1,3,0,0,0,0,0,0,70,98,0,70
"B12627",2010.2,1,89,0,90,80,0,0,0,0,0,0
"B12627",2011.1,2,0,77,0,0,70,57,0,0,50,0
"B12627",2011.2,3,0,0,0,0,0,0,51,71,0,50
"B12631",2012.2,1,92,0,92,75,0,0,0,0,0,0
"B12631",2013.1,2,0,73,0,0,72,0,0,0,70,0
"B12631",2013.2,2,0,0,0,0,0,62,0,0,0,0
"B12631",2013.2,3,0,0,0,0,0,0,24,200,0,0
"B12631",2014.1,3,0,0,0,0,0,0,200,200,0,0
"B12632",2013.2,1,93,0,93,84,0,0,0,0,0,0
"B12686",2009.1,1,51,0,51,71,0,0,0,0,0,0
"B12686",2009.2,2,0,65,0,0,65,52,0,0,50,0
"B12686",2010.1,3,0,0,0,0,0,0,68,70,0,50
"B12687",2006.1,1,200,0,28,53,0,0,0,0,0,0
"B12687",2006.2,1,70,0,71,0,0,0,0,0,0,0
"B12687",2007.1,2,0,90,0,0,90,71,0,0,78,0
"B12687",2007.2,3,0,0,0,0,0,0,79,76,0,78
"B12725",2008.2,1,97,0,98,100,0,0,0,0,0,0
"B12725",2009.1,2,0,89,0,0,89,74,0,0,85,0
"B12725",2009.2,3,0,0,0,0,0,0,79,79,0,64
"B12752",2011.1,1,51,0,50,55,0,0,0,0,0,0
"B12752",2011.2,2,0,36,0,0,36,38,0,0,38,0
"B12752",2012.1,2,0,53,0,0,53,38,0,0,66,0
"B12752",2012.2,2,0,0,0,0,0,70,0,0,0,0
"B12752",2012.2,3,0,0,0,0,0,0,51,51,0,0
"B12752",2013.1,3,0,0,0,0,0,0,0,0,0,35
"B12754",2013.1,1,70,0,70,79,0,0,0,0,0,0
"B12754",2013.2,2,0,65,0,0,55,46,0,0,59,0
"B12760",2008.1,1,60,0,50,51,0,0,0,0,0,0
"B12760",2008.2,2,0,51,0,0,81,22,0,0,42,0
"B12760",2009.1,2,0,0,0,0,0,61,0,0,79,0
"B12760",2009.2,3,0,0,0,0,0,0,53,7,0,30
"B12760",2010.1,3,0,0,0,0,0,0,0,50,0,57
"B12766",2013.2,1,200,0,200,200,0,0,0,0,0,0
"B12838",2012.1,1,200,0,200,200,0,0,0,0,0,0
"B12840",2009.1,1,82,0,76,75,0,0,0,0,0,0
"B12840",2009.2,2,0,84,0,0,86,66,0,0,59,0
"B12840",2010.1,3,0,0,0,0,0,0,74,89,0,64
"B12843",2010.2,1,75,0,78,76,0,0,0,0,0,0
"B12843",2011.1,2,0,77,0,0,52,50,0,0,93,0
"B12843",2011.2,3,0,0,0,0,0,0,60,75,0,52
"B12848",2013.2,1,200,0,200,200,0,0,0,0,0,0
"B12848",2014.1,1,200,0,200,200,0,0,0,0,0,0
"B12905",2014.1,1,35,0,35,53,0,0,0,0,0,0
"B13031",2013.1,1,69,0,69,89,0,0,0,0,0,0
"B13031",2013.2,2,0,87,0,0,81,0,0,0,70,0
"B13031",2014.1,2,0,0,0,0,0,82,0,0,0,0
"B13031",2014.1,3,0,0,0,0,0,0,84,77,0,0
"B13033",2012.2,1,77,0,77,71,0,0,0,0,0,0
"B13033",2013.1,2,0,74,0,0,76,0,0,0,53,0
"B13033",2013.2,2,0,0,0,0,0,57,0,0,0,0
"B13033",2013.2,3,0,0,0,0,0,0,45,41,0,0
"B1307",2013.2,1,70,0,71,85,0,0,0,0,0,0
"B1307",2014.1,2,0,18,0,0,19,200,0,0,200,0
"B1309",2014.1,1,50,0,50,86,0,0,0,0,0,0
"B13108",2014.1,1,70,0,70,83,0,0,0,0,0,0
"B13113",2011.2,1,82,0,83,0,0,0,0,0,0,0
"B13113",2012.1,2,0,79,0,0,64,68,0,0,83,0
"B13113",2012.2,3,0,0,0,0,0,0,66,60,0,0
"B13114",2012.1,1,200,0,6,200,0,0,0,0,0,0
"B13125",2006.1,1,89,0,88,85,0,0,0,0,0,0
"B13125",2006.2,2,0,70,0,0,84,44,0,0,75,0
"B13125",2007.1,2,0,0,0,0,0,84,0,0,0,0
"B13125",2007.1,3,0,0,0,0,0,0,76,76,0,0
"B13125",2007.2,3,0,0,0,0,0,0,0,0,0,80
"B13130",2005.2,1,77,0,84,83,0,0,0,0,0,0
"B13130",2006.1,2,0,74,0,0,85,70,0,0,81,0
"B13130",2006.2,3,0,0,0,0,0,0,76,87,0,81
"B13134",2013.2,1,87,0,87,94,0,0,0,0,0,0
"B13134",2014.1,2,0,86,0,0,85,79,0,0,82,0
"B13223",2012.1,1,88,0,87,93,0,0,0,0,0,0
"B13223",2012.2,2,0,94,0,0,95,95,0,0,95,0
"B13223",2013.1,3,0,0,0,0,0,0,90,87,0,91
"B13224",2011.2,1,200,0,200,200,0,0,0,0,0,0
"B13241",2004.1,1,36,0,41,90,0,0,0,0,0,0
"B13241",2004.2,1,76,0,84,0,0,0,0,0,0,0
"B13241",2005.1,2,0,54,0,0,60,72,0,0,70,0
"B13241",2005.2,3,0,0,0,0,0,0,70,74,0,68
"B13243",2008.1,1,74,0,59,83,0,0,0,0,0,0
"B13243",2008.2,2,0,76,0,0,90,53,0,0,72,0
"B13243",2009.1,3,0,0,0,0,0,0,53,71,0,60
"B13245",2003.1,2,0,76,0,0,87,92,0,0,79,0
"B13245",2003.2,3,0,0,0,0,0,0,70,62,0,84
"B13246",2007.2,1,70,0,75,81,0,0,0,0,0,0
"B13246",2008.1,2,0,80,0,0,90,62,0,0,71,0
"B13246",2008.2,3,0,0,0,0,0,0,64,73,0,50
"B13247",2008.2,1,200,0,200,200,0,0,0,0,0,0
"B13248",2002.2,1,28,0,58,61,0,0,0,0,0,0
"B13248",2003.1,1,74,0,0,0,0,0,0,0,0,0
"B13248",2003.1,2,0,0,0,0,0,200,0,0,0,0
"B13248",2003.2,2,0,27,0,0,27,200,0,0,200,0
"B13248",2004.2,2,0,45,0,0,70,55,0,0,35,0
"B13248",2005.1,2,0,63,0,0,0,0,0,0,83,0
"B13248",2005.2,3,0,0,0,0,0,0,50,53,0,33
"B13248",2006.1,3,0,0,0,0,0,0,0,0,0,72
"B13249",2003.2,1,63,0,72,78,0,0,0,0,0,0
"B13249",2004.1,2,0,67,0,0,70,70,0,0,62,0
"B13341",2014.1,1,25,0,25,44,0,0,0,0,0,0
"B13346",2011.2,1,200,0,200,200,0,0,0,0,0,0
"B13364",2005.1,1,70,0,68,80,0,0,0,0,0,0
"B13364",2005.2,2,0,80,0,0,93,77,0,0,62,0
"B13364",2006.1,3,0,0,0,0,0,0,72,93,0,90
"B13367",2009.1,1,55,0,72,72,0,0,0,0,0,0
"B13367",2009.2,2,0,71,0,0,51,64,0,0,71,0
"B13367",2010.1,3,0,0,0,0,0,0,70,86,0,60
"B13368",2006.1,1,62,0,64,81,0,0,0,0,0,0
"B13368",2006.2,2,0,73,0,0,90,68,0,0,73,0
"B13368",2007.1,3,0,0,0,0,0,0,63,69,0,50
"B13372",2010.2,1,52,0,52,73,0,0,0,0,0,0
"B13372",2011.1,2,0,62,0,0,50,0,0,0,80,0
"B13372",2011.2,2,0,0,0,0,0,50,0,0,0,0
"B13372",2011.2,3,0,0,0,0,0,0,50,50,0,0
"B13412",2013.1,1,31,0,31,70,0,0,0,0,0,0
"B13412",2013.2,1,70,0,70,0,0,0,0,0,0,0
"B13412",2014.1,2,0,13,0,0,11,200,0,0,37,0
"B13416",2013.2,1,28,0,28,76,0,0,0,0,0,0
"B13416",2014.1,1,55,0,55,0,0,0,0,0,0,0
"B13416",2014.1,2,0,0,0,0,0,52,0,0,0,0
"B1342",2005.2,1,91,0,88,95,0,0,0,0,0,0
"B1342",2006.1,2,0,68,0,0,90,61,0,0,53,0
"B1342",2006.2,3,0,0,0,0,0,0,52,67,0,19
"B1342",2007.1,3,0,0,0,0,0,0,0,0,0,51
"B1344",2006.2,1,200,0,20,60,0,0,0,0,0,0
"B1344",2007.1,1,50,0,51,0,0,0,0,0,0,0
"B1344",2007.2,2,0,86,0,0,91,200,0,0,56,0
"B1344",2008.1,2,0,0,0,0,0,34,0,0,0,0
"B1344",2008.1,3,0,0,0,0,0,0,2,200,0,0
"B1344",2008.2,2,0,0,0,0,0,41,0,0,0,0
"B1344",2008.2,3,0,0,0,0,0,0,36,31,0,0
"B1344",2009.1,2,0,0,0,0,0,42,0,0,0,0
"B1344",2009.1,3,0,0,0,0,0,0,37,200,0,0
"B13440",2004.2,1,94,0,92,95,0,0,0,0,0,0
"B13440",2005.1,2,0,78,0,0,86,70,0,0,89,0
"B13440",2005.2,3,0,0,0,0,0,0,90,89,0,81
"B1345",2013.2,1,50,0,50,55,0,0,0,0,0,0
"B1345",2014.1,2,0,67,0,0,73,56,0,0,74,0
"B13475",2011.1,1,34,0,30,50,0,0,0,0,0,0
"B13475",2011.2,1,76,0,77,0,0,0,0,0,0,0
"B13475",2011.2,2,0,0,0,0,0,17,0,0,0,0
"B13475",2012.1,2,0,200,0,0,200,200,0,0,39,0
"B13483",2010.2,1,36,0,29,19,0,0,0,0,0,0
"B13483",2011.1,1,71,0,70,56,0,0,0,0,0,0
"B13483",2011.2,2,0,30,0,0,200,200,0,0,50,0
"B13483",2012.1,2,0,72,0,0,71,42,0,0,0,0
"B13539",2010.2,1,54,0,50,52,0,0,0,0,0,0
"B13539",2011.1,2,0,25,0,0,24,0,0,0,70,0
"B13539",2011.2,2,0,70,0,0,51,26,0,0,0,0
"B13539",2012.1,3,0,0,0,0,0,0,38,40,0,0
"B13552",2010.1,1,57,0,71,91,0,0,0,0,0,0
"B13552",2010.2,2,0,80,0,0,78,86,0,0,77,0
"B13552",2011.1,3,0,0,0,0,0,0,70,85,0,73
"B13556",2011.1,1,21,0,200,200,0,0,0,0,0,0
"B13558",2012.1,1,27,0,27,62,0,0,0,0,0,0
"B13558",2012.2,1,92,0,92,0,0,0,0,0,0,0
"B13558",2012.2,2,0,0,0,0,0,58,0,0,0,0
"B13558",2013.1,2,0,71,0,0,64,0,0,0,66,0
"B13560",2009.1,1,98,0,96,93,0,0,0,0,0,0
"B13560",2009.2,2,0,93,0,0,91,81,0,0,91,0
"B13560",2010.1,3,0,0,0,0,0,0,83,91,0,90
"B13562",2013.1,1,88,0,88,85,0,0,0,0,0,0
"B13562",2013.2,2,0,63,0,0,70,50,0,0,92,0
"B13562",2014.1,3,0,0,0,0,0,0,71,76,0,70
"B13566",2011.2,1,18,0,17,56,0,0,0,0,0,0
"B13566",2012.1,1,200,0,200,0,0,0,0,0,0,0
"B13613",2012.2,1,25,0,25,32,0,0,0,0,0,0
"B13613",2013.1,1,200,0,200,0,0,0,0,0,0,0
"B13613",2013.2,1,50,0,50,200,0,0,0,0,0,0
"B13613",2014.1,1,0,0,0,44,0,0,0,0,0,0
"B13613",2014.1,2,0,0,0,0,0,0,0,0,200,0
"B13619",2014.1,1,65,0,65,78,0,0,0,0,0,0
"B13676",2011.2,1,61,0,62,200,0,0,0,0,0,0
"B13676",2012.1,1,0,0,0,200,0,0,0,0,0,0
"B13709",2009.2,1,79,0,78,77,0,0,0,0,0,0
"B13709",2010.1,2,0,78,0,0,90,70,0,0,76,0
"B13709",2010.2,3,0,0,0,0,0,0,72,86,0,0
"B13709",2011.1,3,0,0,0,0,0,0,0,0,0,75
"B13711",2011.1,1,36,0,32,75,0,0,0,0,0,0
"B13711",2011.2,1,70,0,72,0,0,0,0,0,0,0
"B13711",2012.1,2,0,200,0,0,200,200,0,0,23,0
"B13743",2010.1,1,36,0,44,56,0,0,0,0,0,0
"B13743",2010.2,1,75,0,77,0,0,0,0,0,0,0
"B13743",2011.1,2,0,51,0,0,44,44,0,0,83,0
"B13743",2011.2,2,0,0,0,0,41,52,0,0,0,0
"B13748",2012.1,1,83,0,82,84,0,0,0,0,0,0
"B13748",2012.2,2,0,82,0,0,78,68,0,0,70,0
"B13748",2013.1,3,0,0,0,0,0,0,55,52,0,0
"B13748",2013.2,3,0,0,0,0,0,0,0,0,0,59
"B13750",2010.2,1,200,0,200,50,0,0,0,0,0,0
"B13750",2011.1,1,200,0,200,0,0,0,0,0,0,0
"B13750",2011.2,1,14,0,13,0,0,0,0,0,0,0
"B13750",2011.2,2,0,0,0,0,0,200,0,0,0,0
"B13751",2011.2,1,73,0,74,91,0,0,0,0,0,0
"B13751",2012.1,2,0,36,0,0,200,0,0,0,28,0
"B13753",2009.2,1,52,0,71,57,0,0,0,0,0,0
"B13753",2010.1,2,0,50,0,0,35,0,0,0,61,0
"B13753",2010.2,2,0,0,0,0,72,46,0,0,0,0
"B13753",2011.1,2,0,0,0,0,0,41,0,0,0,0
"B13753",2011.1,3,0,0,0,0,0,0,31,38,0,0
"B1379",2010.1,1,200,0,200,200,0,0,0,0,0,0
"B1379",2010.2,1,200,0,0,0,0,0,0,0,0,0
"B13823",2014.1,1,86,0,86,86,0,0,0,0,0,0
"B13830",2012.1,1,73,0,74,72,0,0,0,0,0,0
"B13830",2012.2,2,0,82,0,0,75,61,0,0,63,0
"B13830",2013.1,3,0,0,0,0,0,0,24,35,0,0
"B13830",2013.2,3,0,0,0,0,0,0,66,68,0,200
"B13856",2005.2,1,14,0,27,32,0,0,0,0,0,0
"B13856",2006.1,1,26,0,200,200,0,0,0,0,0,0
"B13856",2006.2,1,68,0,70,60,0,0,0,0,0,0
"B13856",2007.1,2,0,60,0,0,51,20,0,0,0,0
"B13856",2007.2,3,0,0,0,0,0,0,200,200,0,0
"B13856",2008.1,3,0,0,0,0,0,0,200,200,0,0
"B13858",2006.2,1,74,0,76,92,0,0,0,0,0,0
"B13858",2007.1,2,0,85,0,0,88,50,0,0,60,0
"B13858",2007.2,3,0,0,0,0,0,0,71,82,0,76
"B13948",2012.1,1,68,0,68,74,0,0,0,0,0,0
"B13948",2012.2,2,0,70,0,0,50,58,0,0,70,0
"B13948",2013.1,3,0,0,0,0,0,0,51,61,0,37
"B13956",2012.2,1,200,0,200,18,0,0,0,0,0,0
"B13962",2007.1,1,84,0,85,94,0,0,0,0,0,0
"B13962",2007.2,2,0,97,0,0,87,73,0,0,86,0
"B13962",2008.1,3,0,0,0,0,0,0,76,98,0,0
"B13962",2008.2,3,0,0,0,0,0,0,0,0,0,89
"B13963",2004.1,1,80,0,70,79,0,0,0,0,0,0
"B13963",2004.2,2,0,73,0,0,77,68,0,0,90,0
"B13963",2005.1,3,0,0,0,0,0,0,72,71,0,80
"B13967",2008.1,1,82,0,80,89,0,0,0,0,0,0
"B13967",2008.2,2,0,86,0,0,91,70,0,0,86,0
"B13967",2009.1,3,0,0,0,0,0,0,53,85,0,50
"B13968",2002.1,1,54,0,88,84,0,0,0,0,0,0
"B13968",2002.2,2,0,63,0,0,93,54,0,0,92,0
"B13968",2003.1,3,0,0,0,0,0,0,50,68,0,60
"B13969",2012.1,1,46,0,46,87,0,0,0,0,0,0
"B13969",2012.2,1,97,0,97,0,0,0,0,0,0,0
"B13969",2012.2,2,0,0,0,0,0,77,0,0,0,0
"B13969",2013.1,2,0,78,0,0,79,0,0,0,90,0
"B13969",2013.2,3,0,0,0,0,0,0,84,77,0,90
"B13971",2003.1,1,75,0,80,91,0,0,0,0,0,0
"B13971",2003.2,2,0,77,0,0,80,66,0,0,66,0
"B13971",2004.1,3,0,0,0,0,0,0,0,0,0,57
"B13971",2004.2,3,0,0,0,0,0,0,73,77,0,0
"B13973",2007.2,1,65,0,68,63,0,0,0,0,0,0
"B13973",2008.1,2,0,57,0,0,87,0,0,0,40,0
"B13973",2008.2,2,0,0,0,0,0,28,0,0,60,0
"B13973",2009.1,2,0,0,0,0,0,64,0,0,0,0
"B13973",2009.1,3,0,0,0,0,0,0,34,54,0,0
"B13973",2009.2,3,0,0,0,0,0,0,36,0,0,24
"B13973",2010.1,3,0,0,0,0,0,0,200,0,0,200
"B13974",2004.2,1,38,0,36,72,0,0,0,0,0,0
"B13974",2005.1,1,58,0,59,0,0,0,0,0,0,0
"B13974",2005.2,2,0,56,0,0,78,61,0,0,55,0
"B13974",2006.1,3,0,0,0,0,0,0,50,70,0,62
"B13976",2002.2,1,50,0,74,77,0,0,0,0,0,0
"B13976",2003.1,2,0,45,0,0,70,0,0,0,51,0
"B13976",2003.2,2,0,50,0,0,0,50,0,0,0,0
"B13976",2004.1,3,0,0,0,0,0,0,32,43,0,65
"B13976",2004.2,3,0,0,0,0,0,0,70,70,0,0
"B13978",2003.2,1,35,0,40,70,0,0,0,0,0,0
"B13978",2004.1,1,72,0,78,0,0,0,0,0,0,0
"B13978",2004.2,2,0,14,0,0,200,57,0,0,61,0
"B13978",2005.1,2,0,59,0,0,81,0,0,0,0,0
"B13978",2005.1,3,0,0,0,0,0,0,0,0,0,57
"B13978",2005.2,3,0,0,0,0,0,0,34,50,0,0
"B13978",2006.1,3,0,0,0,0,0,0,200,0,0,0
"B13978",2006.2,3,0,0,0,0,0,0,37,0,0,0
"B13978",2007.1,3,0,0,0,0,0,0,200,0,0,0
"B14059",2012.1,1,50,0,50,45,0,0,0,0,0,0
"B14059",2012.2,1,0,0,0,74,0,0,0,0,0,0
"B14059",2012.2,2,0,0,0,0,0,0,0,0,77,0
"B14059",2013.1,2,0,200,0,0,200,0,0,0,0,0
"B14059",2013.2,2,0,57,0,0,59,43,0,0,0,0
"B14059",2014.1,2,0,0,0,0,0,82,0,0,0,0
"B14073",2012.2,1,93,0,93,82,0,0,0,0,0,0
"B14073",2013.1,2,0,87,0,0,87,67,0,0,88,0
"B14073",2013.2,3,0,0,0,0,0,0,60,65,0,57
"B14084",2013.1,1,70,0,70,78,0,0,0,0,0,0
"B14084",2013.2,2,0,50,0,0,50,18,0,0,29,0
"B14084",2014.1,2,0,0,0,0,0,35,0,0,50,0
"B14085",2010.1,1,70,0,77,100,0,0,0,0,0,0
"B14085",2010.2,2,0,92,0,0,90,97,0,0,89,0
"B14085",2011.1,3,0,0,0,0,0,0,82,96,0,0
"B14085",2011.2,3,0,0,0,0,0,0,0,0,0,96
"B14089",2011.1,1,200,0,200,200,0,0,0,0,0,0
"B14091",2005.1,1,33,0,39,62,0,0,0,0,0,0
"B14091",2005.2,1,75,0,71,0,0,0,0,0,0,0
"B14091",2006.1,2,0,54,0,0,75,50,0,0,50,0
"B14091",2006.2,3,0,0,0,0,0,0,52,52,0,5
"B14091",2007.1,3,0,0,0,0,0,0,0,0,0,30
"B14094",2009.1,1,22,0,200,74,0,0,0,0,0,0
"B14094",2009.2,1,66,0,67,0,0,0,0,0,0,0
"B14094",2010.1,2,0,31,0,0,33,0,0,0,0,0
"B14095",2006.1,1,0,0,0,70,0,0,0,0,0,0
"B14095",2006.2,1,77,0,78,0,0,0,0,0,0,0
"B14095",2007.1,2,0,73,0,0,89,78,0,0,70,0
"B14095",2007.2,3,0,0,0,0,0,0,82,80,0,52
"B14153",2010.2,1,200,0,200,200,0,0,0,0,0,0
"B14197",2011.1,1,80,0,79,93,0,0,0,0,0,0
"B14197",2011.2,2,0,82,0,0,70,80,0,0,78,0
"B14197",2012.1,3,0,0,0,0,0,0,77,77,0,0
"B14197",2013.2,3,0,0,0,0,0,0,0,0,0,70
"B14210",2013.2,1,200,0,200,53,0,0,0,0,0,0
"B14210",2014.1,1,200,0,0,0,0,0,0,0,0,0
"B14210",2014.1,2,0,0,0,0,0,200,0,0,0,0
"B14261",2010.2,1,75,0,76,80,0,0,0,0,0,0
"B14261",2011.1,2,0,73,0,0,56,200,0,0,50,0
"B14261",2011.2,2,0,0,0,0,0,36,0,0,0,0
"B14261",2012.1,3,0,0,0,0,0,0,43,40,0,0
"B14261",2012.2,3,0,0,0,0,0,0,74,79,0,0
"B14262",2011.2,1,200,0,200,200,0,0,0,0,0,0
"B14273",2010.1,1,70,0,74,82,0,0,0,0,0,0
"B14273",2010.2,2,0,85,0,0,84,85,0,0,79,0
"B14273",2011.1,3,0,0,0,0,0,0,77,80,0,70
"B14277",2005.1,1,70,0,70,77,0,0,0,0,0,0
"B14277",2005.2,2,0,81,0,0,93,73,0,0,70,0
"B14277",2006.1,3,0,0,0,0,0,0,74,97,0,76
"B14279",2009.1,1,65,0,70,54,0,0,0,0,0,0
"B14279",2009.2,2,0,44,0,0,56,61,0,0,57,0
"B14279",2010.1,2,0,58,0,0,0,0,0,0,0,0
"B14279",2010.1,3,0,0,0,0,0,0,0,0,0,44
"B14279",2010.2,3,0,0,0,0,0,0,78,83,0,0
"B14279",2011.1,3,0,0,0,0,0,0,0,0,0,70
"B14280",2010.2,1,50,0,52,50,0,0,0,0,0,0
"B14280",2011.1,2,0,52,0,0,52,0,0,0,83,0
